Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;2,00;6.532.984;82.044.972
Apr;10;2019;2,10;7.260.659;86.352.266
Apr;09;2019;2,11;7.314.090;86.818.982
Apr;08;2019;2,23;6.654.765;91.401.646
Apr;07;2019;2,29;9.106.907;93.877.198
Apr;06;2019;2,25;11.660.880;92.291.483
Apr;05;2019;2,13;6.170.720;87.518.951
Apr;04;2019;2,02;6.250.974;82.918.509
Apr;03;2019;1,95;8.995.006;79.864.057
Apr;02;2019;1,98;16.524.018;81.149.909
Apr;01;2019;1,92;12.105.682;78.718.316
Mar;31;2019;1,64;7.994.070;67.449.384
Mar;30;2019;1,61;7.297.068;66.171.561
Mar;29;2019;1,49;5.698.508;61.045.987
Mar;28;2019;1,52;12.793.901;62.406.724
Mar;27;2019;1,35;6.355.659;55.277.668
Mar;26;2019;1,30;4.555.907;53.240.706
Mar;25;2019;1,21;3.833.763;49.748.012
Mar;24;2019;1,25;2.891.871;51.449.804
Mar;23;2019;1,26;3.147.708;51.743.517
Mar;22;2019;1,24;3.267.442;51.014.503
Mar;21;2019;1,26;4.276.014;51.609.356
Mar;20;2019;1,30;2.902.622;53.305.798
Mar;19;2019;1,29;3.190.295;53.097.481
Mar;18;2019;1,28;3.390.648;52.356.385
Mar;17;2019;1,32;3.362.987;54.320.141
Mar;16;2019;1,37;4.509.676;56.131.028
Mar;15;2019;1,31;3.517.766;53.584.713
Mar;14;2019;1,24;3.569.317;50.961.826
Mar;13;2019;1,27;4.807.946;52.056.699
Mar;12;2019;1,27;3.723.712;52.178.153
Mar;11;2019;1,20;3.430.447;49.006.599
Mar;10;2019;1,19;3.023.599;48.716.108
Mar;09;2019;1,18;2.660.110;48.490.112
Mar;08;2019;1,12;2.418.497;45.723.944
Mar;07;2019;1,13;2.446.853;46.407.967
Mar;06;2019;1,12;2.325.989;45.844.427
Mar;05;2019;1,11;2.208.851;45.401.035
Mar;04;2019;1,07;3.131.910;43.702.969
Mar;03;2019;1,19;3.784.678;48.752.501
Mar;02;2019;1,12;2.819.626;45.741.527
Mar;01;2019;1,12;2.706.051;45.999.654
Feb;28;2019;1,09;2.353.862;44.870.405
